smiles,4lde score
S(=O)(=O)(N)c1ccc([n+]2noc([O-])c2c2ccc(OC)cc2)cc1,-8.4
O=C1C(C2C(C1C(=O)OC)C(C(=O)C2C(=O)OC)C(=O)OC)C(=O)OC,-4.8
OC1CCC(CC1)C(C)C,-6.5
s1c2c(nc1CN)cccc2,-6.4
Clc1cc2nccc(NC(C/C=N/N3CCCCC3)C)c2cc1,-9.1
ClC1=C(O)[C@]2(N(C(=C([C@]2(C(=C1Cl)O)C#N)C(=O)OCC)C)c1ccc(Cl)cc1)C#N,0.8
O(C(=O)C1(N)CCc2[nH][nH]c(=O)c2C1)CC,-8.2
O1CCN(CC1)CCNC(=O)NCC,-6
S=C(N(CCN(CC)CC)C(=O)c1ccccc1)N,-7.3
ClC(Cl)(Cl)C1(C=C(/C(=N/OC(C)C(=O)OCC)/C=C1)C)C,-8.4
S(/C(=N\C)/NC)C,-3.6
OCc1cc([N+](=O)[O-])ccc1,-7.2
S(CCC(=O)OCC)c1ccc(NC)cc1,-7.1
Clc1cc(NC(=O)Nc2ccccc2)c(cc1)C,-9.6
O1c2c(C(c3ccccc3)C(=C1N)C#N)ccc1c2nccc1,-7.6
O=C1N(CCC1c1ccccc1)C,-7.6
Fc1c([N+](=O)[O-])c(Nc2cc(F)ccc2)ccc1,-9.7
O(C(=O)C(C1N(c2c(C=C1)cccc2)C(=O)c1ccccc1)C(=O)C)CC,-5.9
OC(=O)CC(c1cc([N+](=O)[O-])c(NC(=O)C)cc1)(C)C,-7.7
N1(N=Cc2c(C1=C)cccc2)c1ccccc1,-9.2
O1C2=C(C(c3c1cc1OCOc1c3)c1cc(OC)c(OC)c(OC)c1)C(=O)CC(C2)(C)C,1.6
S(c1c(c2c(n(Cc3ccc(OC)cc3)c1=O)Cc1c(C2)cccc1)C)CC,-5.9
O[C@@]1([C@@](O)(N(C(=O)[C@H]1NC(=O)C)c1ccc(OC)cc1)C)C,-7.9
BrC(=C)CNC(=O)C,-4.9
o1c2c3c(occc3=O)ccc2ccc1=O,-9.1
S(c1nc2CCN(C(CC)C)Cc2c(=O)[nH]1)C,-7
O=C(NCCN1CCCC1)Nc1c(OC)cccc1,-8.3
O(c1cc2c(n(CCc3ccccc3)cc(c2=O)C(=O)O)cc1)C,-9.4
O(C(CC)C)C(=O)c1ccc(C(C)C)cc1,-8.3
NC1CCCCCCC1,-6.4
O=c1c2c([nH]c(c1)C)ccc(c2)C(=O)c1ccccc1,-9.6
O(C(Cn1c(ncc1)[N+](=O)[O-])COC)C(=O)C,-6.4
O/N=C\1/c2c(CCCC1)cccc2N(CC)CC,-7.7
O=C1NC(=O)Cc2n(ccc12)C,-7.4
OCc1c(NC(=O)C)cccc1,-6.9
Brc1c(F)cccc1,-5.5
O=c1n(c(=O)n(c2nc(n(c12)C)CCc1ccccc1)C)C,-9.1
O(CCC)C(=O)c1ccc(OC(=O)NC)cc1,-7.6
O1CCN(CC1)c1nc2c(c(c1)C(=O)OCC)cccc2,-8.3
OC1(C2(C(C3C(C4(C(=CC3)CC(OC(=O)C)CC4)C)CC2)CC1)C)C(=O)COC(=O)C,-5.5
O(CCNc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1)C(=O)c1ccccc1,-9.7
O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)C[C@H]1n1ccnc1)C,-8.3
S(=O)(=O)(NO)c1ccccc1,-7.2
[se]1cc(c2[nH]nc(n2)c2cc[se]c2)cc1,-7.4
s1c2c(CCC2=O)cc1,-6.1
S=C(NCCN1CCOCC1)Cn1cc(c(=O)[nH]c1=O)C,-8.2
S(=O)(=O)(N(CCO)CCO)c1ccc(cc1)C,-7.4
O(c1cc2CCc3c([nH]nc3-c2cc1)c1[nH]nc2-c3c(CCc12)cc(OC)cc3)C,-8.3
O=C(N1CCCCCC1)CCCC,-6.3
N(Cc1ccncc1)CCN,-5.7
O(OC(C)(C)C)C(CCC(OOC(C)(C)C)(C)C)(C)C,-7.7
OC(c1ccccc1)(c1ccccc1)C(=O)C,-8.5
O(c1ccc(cc1)/C=N/c1ccc(cc1)/C=C\C(=O)O)C,-9.4
Brc1c(C2SCC(=O)N2c2scnn2)cccc1,-7
Brc1c(n(CCO)c(=O)n(CC)c1=O)N,-6.6
O=C(N(C)C)C(CCN(C(C)C)C(C)C)(c1ccccc1)c1ccccc1,-7.7
O(CCC)c1c(O)cccc1,-6.2
Clc1c(OCCCO)ccc(Cl)c1,-6.7
O1[C@H]([C@@H]([C@@H](O)c2c1c1c(OC(C=C1)(C)C)c1c2oc(=O)cc1CCC)C)C,4.2
Clc1cc(nc(N)c1)N,-6.2
Fc1ccc(C(=O)c2c(=O)[nH]c(=O)[nH]c2)cc1,-9.2
ClC(=C(Cl)Cl)c1cc2n(cc(n2)NC(=O)OC)cc1,-8.2
O1c2c(OC1)cc1c([nH]c(cc1=O)c1occc1)c2,-9.4
O=C1N(c2cc(ccc2O)C)C(=O)C(=O)C1C(=O)C,-8.5
O(C(=O)C(/C(=C/C(C)C)/C)(CC)C#N)C,-6.6
P(=O)(Oc1ccccc1)(Oc1ccccc1)N/C(=N/C)/Oc1ccccc1,-9
Brc1c(S(=O)(=O)c2ccccc2)cccc1,-8.1
Clc1c(OC(=O)Nc2cc(OC)ccc2)ccc(Cl)c1,-8.6
S(=O)(=O)(C1C2CC(C1)C=C2)c1ccc(cc1)C,-8.7
O(c1c(C(C)(C)C)cc([N+](=O)[O-])c(c1[N+](=O)[O-])C)C(=O)C,-6.4
O(C(=O)c1[nH]c(=O)[nH]c1C)CC,-6.1
O=C(N)C(N1CCN(CC1)c1ccccc1)C,-8.2
O1c2c(c(N)c(cc2C)C)C(=O)CC1,-7.7
Clc1c(C2(NC(=O)NC2=O)c2ccccc2)ccc(Cl)c1,-9
O=C(NCC(=O)O)C(N)Cc1ccc(O)cc1,-8.5
O(C(CC(=C)COC(=O)C)/C=C(/CC/C=C(/CO)\C)\C)C(=O)C,-8.7
O(CC)C(=O)c1[nH]ccc1,-5.6
Oc1c(c2c(nc(nc2)C)CC)ccc([N+](=O)[O-])c1,-8.7
Clc1c(cc(S(=O)(=O)NC2=NCCCN2)c(S)c1)C,-8.2
O1CC(=C(c2cc(OC)c(OC)c(OC)c2)C1=O)c1ccccc1,-6.7
O(C1(C2(C(C3C(C4(C(=CC(=O)CC4)C(=C)C3)C)CC2)CC1)C)C(=O)C)C(=O)C,0.3
O(CC1C2C1C(=O)CC2)C/C=C/C(=O)OC,-7.2
O1C(C(O)Cc2c1cc(O)cc2O)c1ccc(O)cc1,-9.6
O=C(Nc1ccccc1)C1C2CC(C1)C=C2,-8.3
N1(CCCc2c1cccc2)CC,-6.9
P(=O)(OC)(OC)C1c2c(-c3c1cccc3)cccc2,-7.3
O=C1N(N=C2C1CCCC2)c1ccccc1,-9
O=C1c2n(c3c(c2-n2c1ccc2)cc(OC)c(OC)c3)C,-6.5
ClC(Cl)C(=O)NC1CCC(CC1)CCCC,-6.7
Clc1cc2c(O/C(=C\c3ccc(O)cc3)/C2=O)cc1,-9.5
O1C(=NCC1)NC1CCCCC1,-6.6
O(c1cc2CCN(Cc2cc1O)C)C,-6.7
C(CC/C=C\C)CC,-5
S1C(SCCC1)C(=O)N(O)c1c(OCc2ccccc2)cccc1,-9.1
Clc1c(C(=O)CC(=O)OCC)cccc1,-7.3
Brc1cc2c(oc3c(c2=O)cc(Br)cc3)cc1,-8.1
S(C1CCCN(C1)CC)c1[nH]c2c(n1)n(c(=O)n(c2=S)C)C,-7.8
N(Cc1ccncc1)C,-5.2
P(=O)(O)(O)c1c(OC)cccc1,-7.2
O=C(c1ccc(cc1)C)c1ccc(cc1)C,-9.6
Clc1cc2nccc(N3OCC(=C(C3)C)C)c2cc1,-8.8
O=C(NCC(=O)O)CNC(=O)CN,-6.4
S1C(CNC1=S)C,-4
OC12N(CN3C1c1c(CC3)cccc1)C(=O)c1c2cccc1,-9.6
O=C(C(N)CC(C)C)CN1C(=O)CCC1=O,-7.6
O1C(Cc2ccccc2)(c2c(C1=O)cccc2)c1ccccc1,-9.7
O=C(N(C)C)Nc1cccnc1,-6
O(C(=O)C1(NCCCCC1)Cc1ccccc1)CC,-8.2
O1[C@@H]2[C@@H](N(C(C)(C)C)COC1)CCC2,-6.6
O=C(Nc1c2c(nc(c1)C)ccc(c2)C)c1ccccc1,-9.8
O=C1N(c2ccc(NC(=O)C)cc2)C(=O)C=C1,-8.4
O(C1C(CCCC1)C)C(=O)CCCCCCC,-7.4
Clc1c(/C=C(/OC)\c2ncccc2)cccc1,-7.5
O(C1C2CC(C1)CC2)C(=O)c1ccc([N+](=O)[O-])cc1,-9
S(/N=C/C(C)C)c1cc([N+](=O)[O-])ccc1,-8.2
Oc1c(c2c(cc1)cccc2)/C=N\O,-9.3
Brc1c(cccc1)/C=C/[N+](=O)[O-],-6.9
o1n(c2c(c1=O)cccc2)c1c([N+](=O)[O-])cccc1,-9
O(Cc1ccc(OC)cc1)C(=O)Nc1c(OC)ccc(OC)c1,-8.4
OC(CC(O)CC)(CC)C,-5.9
O(C(=O)c1nc2c([nH]c1=O)nccc2)CC,-7.3
O1C(CCOC1)(c1ccccc1)C,-7
O=C(NCc1ccccc1)C1=C(NC(=C(C1c1ccc([N+](=O)[O-])cc1)C(=O)NCc1ccccc1)C)C,1.4
O(C(=O)Nc1c2c(ccc1)cccc2)CC=C,-8.4
O1c2c(C(=O)c3c(C1)cccc3)cc(cc2)CC(=O)O,-9.6
OC(=O)c1c2c(nccc2)ccc1,-8.1
Clc1ccc(C2C3N(C(=O)C2C#N)C(=O)C(=C3O)NC(=O)C)cc1,-6.9
O=C(C/C=C(/CCC=C(C)C)\C)C,-7.2
OC1(CCC(CC1)C)C,-6
OC(=O)/C(=C\c1ccccc1)/Cc1ccccc1,-9.4
S=C1NC(CN1)C,-4.2
O(C(COC)C)C(=O)c1ccccc1,-6.8
O1c2c(C(NC(=O)CN(C)C)c3c1cccc3)cccc2C,-6.7
Clc1cc(N2CCN(CC2)C(=S)c2ccc(OC)cc2)ccc1,-8.3
FC(F)(F)C(Nc1nccc(c1)C)(NC(=O)c1ccccc1)C(F)(F)F,-9.6
O=c1n2c3c(CCC2)cccc3c(c1)C(=O)O,-9.1
Clc1c(N(S(=O)(=O)C)C)cccc1,-7
O=C(N1Cc2c(nc[nH]c2=O)C1)c1ccccc1,-8.9
O=C(c1cc2C(C(C(c2cc1CC)(C)C)C)(C)C)C,-7.1
s1c2c(n(c3ccccc3)c1=S)nc([nH]c2=O)C,-8.4
O(C(=O)C1c2c(Cc3c1cccc3)cccc2)CC=C,-8.1
O(C(=O)c1cc2c(cc(c1=O)C(=O)OCC)cccc2)CC,-7.9
S(=O)(=O)(c1cc(OC)ccc1)C,-6.7
OC1CN(CC2NC(=O)C(NC2=O)CN2CC(O)CCC2)CCC1,-9.4
Clc1cc(c(OCC(=O)OCC2OC(OC2)(C)C)cc1)C,-8.8
O(c1ccc(C(CC)(C)C)cc1)C(CC)C(=O)O,-8.3
O(CCCC)C(=O)c1c(=O)[nH]c(=O)[nH]c1,-7.1
OC(=O)C1(NC)CCCCC1,-6.6
O=C1NC(=O)c2c3c1cc([N+](=O)[O-])cc3ccc2,-9.2
Clc1cc(C(=O)Nc2ccc(F)cc2)ccc1Cl,-9.3
P(=O)(O)(O)C(P(=O)(O)O)N1CC(CC(C1)C)C,-7.7
S=C1NC(=O)C(CCCCC)(C(=C)C)C(=O)N1,-7
O1C(OCc2c(C1)cccc2)(CCCNC(=O)c1ccccc1)CCC,-9.2
S(=O)(=O)(N(S(=O)(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1)c1ccccc1,-7.1
O(C1C2(CCCC2)C(=CCC1)C)C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-8.7
OC(=O)c1c(n2c3c(c4c2cccc4)cccc3)cccc1,-9.3
OC(C1CCN(CC1)Cc1ccccc1)c1ccccc1,-9.8
O=C1N([C@H](C(C)C)C(=O)O)C(=O)c2c1cccc2,-8.4
O=c1[nH]c(=O)[nH]c2[nH]c(=O)c(=O)[nH]c12,-8.1
O(C(=O)c1nc2n(nc(OC)cc2)c1)CC,-6.8
O=C(NCC(=O)O)c1ccc(c2[nH]ccn2)cc1,-8.5
O=Nc1c(Nc2c(cccc2)C)nc(nc1N)c1ccccc1,-9.4
O=C1NCNC(=O)C1(CC)c1ccccc1,-8.4
O=C(CCCCCC)/C=C/c1ccc(cc1)C,-8.4
OC(=O)c1c(cccc1C(=O)C)C,-7.5
O(C(=O)C1NC(=O)n2c(C1)cnc2)C,-7.2
S(C(=S)NN1CCN(NC(=S)SCCC(=O)O)CC1)CCC(=O)O,-7
o1c([C@H](CC)C)c(c2-c(c1)c(O)c(c(=O)c2)C(=O)O)C,-8.7
O=C1NC(=O)CNC1,-5.1
O1C(C(Oc2c1c1oc3c(c(=O)c1c(O)c2)c(OC)ccc3)c1cc(O)c(OC)cc1)CO,-6.5
OCC(NC(=O)c1nc2c(nc1)cccc2)C(=O)O,-8.7
S([C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)c2c(CC3)cc(O)cc2)CC1)C)C,-8.5
s1c2cc(CN3C(=O)c4c(C3=O)cccc4)ccc2nc1SCC,-9
Cl[C@@H]1[C@H](NC(=O)N(N=O)C)CCCC1,-6.8
O1C([C@H](c2c1c(c(OC)c(O)c2)C)C)c1cc(OC)c(OC)cc1,-7.7
Clc1ccc(S(=O)(=O)NC(=O)NC(=O)CCC=C(C)C)cc1,-9.7
S=C(N)c1c2c(c(OC(C)C)cc1)cccc2,-8.1
S1(=O)(=O)CC2OC(OC2C1)c1ccccc1,-8.7
[O-][N+](=O)c1c(N=C)cc(N=C)cc1,-6.4
ClC(Cl)(CCCCNC(=O)c1ccccc1)C(=O)O,-9.1
O1c2c3C(C(C(Cc3ccc2OC1)C)C)c1cc2OCOc2cc1,-4.7
OCCc1c([nH]c(=O)nc1)N,-6.8
O(CCN(CCOC(=O)C)C(=O)Cn1c(ncc1)[N+](=O)[O-])C(=O)C,-7.5
O(CCN(CCCC)CCCC)c1c(=O)[nH]c(=O)[nH]c1,-7
P(=O)(OC[C@H](N)C(=O)O)(O)O,-5.9
S(=O)(=O)(N1CCCCC1)Nc1ccccc1,-8.3
OC(=O)C(CCC(=O)O)CC,-6.4
Clc1ccc(C2(n3c4c(nc3NC(=N2)N)cccc4)C)cc1,-7.4
Clc1c2c3c(CCc3cc1)ccc2NC(=O)C,-8.5
Brc1c(O)c(C(C)(C)C)cc(C(C)(C)C)c1O,-6.7
FC(F)(F)C(=O)N(C1CCCCC1)C(=O)NC1CCCCC1,-7.3
OC(=O)C(N)(CCCC)CCC,-6.5
ClC(Cl)(Cl)C(=O)OCCC,-5.6
n12Cc3c(-c1nc1c2cccc1)cc1c(c3)cccc1,-9.7
n12c(ncc2)cccc1N,-6.3
O=C(Nc1c(N)cccc1)Cc1ccc(C(=C)CN2CCc3c(C2)cccc3)cc1,-10
O(C(=O)c1n(NC(=O)C)c2CCCCc2n1)C,-7.1
O=C1NC(=O)NC(=O)C1(c1ccccc1)c1ccccc1,-8.9
OC12N(C(=C(C31C(=C(O)c1c(C3=O)cccc1)C(=O)C=C2)C(=O)OCC)C)c1ccc(OC)cc1,-7
N(=C\N(C)C)/C1CCCCC1,-5.5
N1(CN(CCC1)Cc1c(N(C)C)cccc1)Cc1c(N(C)C)cccc1,-8.1
O=C(NCCc1cc(OC)c(OC)cc1)CC1CCN(CC1)C,-8.7
O1C(CC(c2c1cccc2)(c1ccc(O)cc1)C)(C)C,-9.8
o1nc(c2c1cccc2)CC,-6.9
Clc1c(N(CCO)CCO)cccc1,-6.7
O=C1N(CCC1n1c(=O)[nH]c(=O)cc1)CCO,-7.7
Clc1c(NN)c(Cl)cc(Cl)c1,-6.6
S(=O)(=O)(NC(=O)NCCSC)c1ccc(cc1)C,-7.7
O1C(OCC)c2c(-c3c1cccc3)nc(c(c2)C#N)C,-7.9
FC(F)(F)c1nc(NCc2ccccc2)c2c([nH]nc2)n1,-9.7
ClC1=C(N(C2CCCCC2)C)C(=O)N(C1=O)Cc1ccccc1,-9.5
n1(Cc2ccccc2)c(ncc1C#N)C,-7.6
Clc1c(C(C(=O)C(=O)Nc2cc(ccc2)C(F)(F)F)C#N)c(Cl)ccc1,-9.9
O(c1c(OC)ccc(N)c1)C,-6.1
O(C1C(CCCC1)c1ccccc1)C(=O)OCC,-8.2
O(C(C1=CCC(CC1)C)(C)C)CC=C,-6.8
n1c(cccc1C#N)C,-5.9
Oc1c(CC(C)C)ccc(CC(C)C)c1,-8
N1(CCN(CC1)c1ccccc1)CCCN,-7.2
[nH]1c(c2ccccc2)ccc1,-6.9
S(=O)(=O)(N)c1cc(c(N)c(c1)C)C,-7.9
Fc1c(C(=O)Nc2n(nc(c2)c2ccccc2)c2ccccc2)cccc1,-8.5
s1c(NC(CC(C)C)C(=O)O)c([N+](=O)[O-])cc1[N+](=O)[O-],-7.8
ClC1=C(Cl)C(=O)OC1C(C(=O)c1ccc(Cl)cc1)C,-8.5
O=c1[nH]c(nc(c1CCCNc1ccc(cc1)C(=O)OCC)C)N,-9.4
Oc1c(CC(=O)O)cc(O)cc1,-7.5
S(c1c(C(=O)NCCC(=O)N)cccc1C)C(=O)c1c(cccc1)C,-8.9
O(CCCCCCCCC)C(=O)c1ccccc1,-7.6
OCc1c2-c3c(CCc2ccc1)cccc3CO,-8.4
Clc1c(NC(=O)c2ccccc2)cc(Cl)cc1,-8.8
OC(=O)CN(CCN(CC(=O)O)C)C,-5.4
O=C(NCc1cc(OC)c(OC)cc1)[C@@H](NC(=O)C)Cc1ncc(O)cc1,-8.7
O1C2C(OC(OC2)c2ccccc2)/C(=N/O)/CC1OC,-8.4
O(C1OC(=O)c2c1cccc2)C(C)C,-7.7
S(=O)(=O)(Nc1c(cccc1)C(=O)O)c1ccc(cc1)C,-9
S(c1nc2n(ncc2c(OCC)n1)c1ccccc1)CC,-7.1
O=C(C(CC)C)CCCCC,-6
N(Cc1cc(N)ccc1)(C)C,-6.4
Clc1c(NC(=O)c2c(cccc2)C)ccc(Cl)c1,-9.5
S(=O)(=O)(Nc1ncccn1)c1ccc(NC(=O)c2c3c(nc4c2cccc4)cccc3)cc1,-9
FC(F)(F)C(O)(CC(O)(C)C)C(F)(F)F,-7.3
O(C(C(=O)O)C(=O)O)c1c(O)cccc1,-7.4
O(C(C(CC)(CC)c1ccccc1)c1ccccc1)C(=O)N,-8.7
O1CC2C(ON=C2c2ccc(OC)cc2)COC2C1C=CC=C2,-8.9
S1C(CC)(c2ccccc2)C(=O)NC(=O)C1CC,-7.9
OC1(CCN(CC1)C)c1c(C2=NC(CO2)(C)C)cccc1,-7.6
O(C(=O)C(C1CC=CC1)C(=O)C)CC,-7
S=C(Nc1[nH]ncn1)NC(=O)OCC,-6.2
s1c(ccc1[N+](=O)[O-])C(=O)OCC,-6.6
O/N=C\1/c2c(-c3c1cccc3)ccc(N)c2,-9.2
O=Nc1c(N)ccnc1N,-6.7
S(c1ncnc(SC)c1N)C,-5
O(c1c(CC)cc2c(oc(cc2=O)C(=O)OCC)c1)Cc1ccccc1,-9.5
O(c1c(cc2c(c1)cccc2)C(=O)OCC)C,-7.5
O=C(NC1CCC(NC(=O)NC)CC1)NC,-7
O(C(=O)C1CC1)Cc1ccccc1,-7.1
O=C1NC(C(N1)C)CCCCC(C)C(=O)O,-7.5
OC(=O)c1c2c(nc(c1C)C)cccc2,-8.7
O(C12C3C(C1C(=O)CCC2)CCC=CCC3)C(=O)C,-7
S(c1ncnc2ncn(c12)C(=O)OCC)C,-6.6
O=C(N)Cc1c2c([nH]c1)cccc2,-7.6
O=C1N2C(=C(CC1C)C#N)NCC2,-7.6
O(c1ccc(cc1)C)C/C=C/c1ccc(OC)cc1,-8.6
O1CCN(C(CC(=O)OCC)(CC(=O)OCC)C(=O)OCC)CC1,-6.1
OC(c1c(C(O)(C)C)cccc1)(C)C,-7.9
FC(F)(F)CN[C@@H](C(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC(C)(C)C,-8.2
O1C(OCC)(OCC)CC(c2c1n(nc2)c1ccccc1)c1ccccc1,-6.3
O1CC(COC1(c1ccccc1)C)(CC)C,-8.7
O1C(C(=O)C2=C1Nc1c(N2)cccc1)c1cc(OC)cc(OC)c1,-9
OC(=O)C(Cc1ccccc1)Cc1ccccc1,-8.7
NCCCCCC#N,-5
S(c1nn(CCC#N)c(=O)[nH]c1=O)c1ccccc1,-7.8
Clc1ccc(C(=O)OCCCOC(=O)c2ccc(Cl)cc2)cc1,-8.8
BrC(C)(C)C,-3.5
Clc1cc(c(OC(=O)Nc2c(OC)ccc(OC)c2)cc1)C,-8.7
S1(=O)(=N/C(=N\C#N)/c2c1cccc2)C,-7.2
O(c1ccc(CCC)cc1)CC(=O)O,-7.1
S=C(Nc1ccc(cc1)C(=O)NCC(=O)O)Nc1ccccc1,-9.5
s1c(N2C(=O)c3c(C2=O)cccc3)nnc1,-8.4
N(C(C)C)c1nc(nc2n(ncc12)c1ccccc1)C,-7.7
O1C(C(=O)N(Cc2ccccc2)C1=O)c1ccccc1,-9.1
Clc1cc(NC(=O)Oc2cc(CC)cc(c2)C)c(OC)cc1,-10
O(C(=O)Nc1cc(O)c(cc1)C(=O)O)CC,-7.6
S=c1n(/N=C/c2ccccc2)cn[nH]1,-8.1
N1C(CCCC1)CCN(C)C,-5.5
O1OC(OC)CCC1C(O)C,-5.6
O(C(=O)C1CN(C(=O)C1=O)C)CC,-6.6
OC1C(n2c(=O)nc(OC)nc2)C=C(C1O)CO,-7.2
S=C(N1CCN(CC1)c1ccccc1)N(c1ccccc1)C(=O)c1sccc1,-8.8
OC12C(C(CC2)C2CC(=O)OC2)(CC(O)C2C1CCc1c2ccc(OC)c1)C,-7.4
O1N(CC=C(C1c1ccc(OC)cc1)C)c1nc(ccc1)C,-9.4
O(C(=O)C(Cc1ccccc1)(c1ccccc1)c1ccccc1)CC,-8.9
S(C(=S)N1CCOCC1)CCC(=O)N,-6
o1c(nnc1c1ccccc1)Cn1cnnc1,-8.6
O(C(=O)CCC(=O)NCCCC)CC,-6.1
N1(/N=C/c2ccccc2)CCCCCC1,-8.3
S=c1[nH]c(N)c(C)cn1,-5.3
S(C(C(=O)OCCCCC)C)C#N,-5.6
S(=O)(=O)(Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1)C,-7.5
O(C(=O)N1[C@@H](CCC(=O)N)C(=O)N=C1N)Cc1ccccc1,-9.9
O1C(=O)C(=C(O)C1)C(c1cc2OCOc2cc1O)c1cc(OC)c(OC)cc1,-9.2
S(C(CC(=O)O)C(=O)O)c1ncnc2scnc12,-7
Clc1c(OC(=O)Nc2c(ccc(c2)C)C)ccc(F)c1,-9.8
S=c1[nH]c(c(C(=O)C(C)(C)C)c(n1)C(=O)OC)C(=O)OC,-5.7
O(CCCC)C(=O)C(OC(=O)Nc1cc(ccc1)C#N)C,-8.1
s1c2c(c(NCCN(CC(O)(C)C)CC)ccc2CO)c(=O)c2c1cccc2,-9.4
O(C(C)C(=O)OC/C=C\C)C(=O)OCC,-6
s1c(NC(=O)Nc2c(cccc2)C(F)(F)F)ncc1,-8.6
O1C2C(Oc3c(OC2)cccc3)C(NC#N)C(OC)C1OC,-7
O(c1nc2c(c3c1-c1c(C3=O)cc(OC)cc1)cccc2)CCN(CC)CC,-5.7
O=C1N(C(=O)NC(=O)C1(Cc1ccccc1)Cc1ccccc1)Cc1ccccc1,-7.1
O(c1nc(cc2c1c(=O)[nH]c(c2O)C(=O)NC)c1ccccc1)CC,-8
OC[C@]1([C@@H]2[C@](CCC1)(c1c(CC2)cc(cc1)C(C)C)C)C,-8
OC(=O)C(N)Cc1c2c([nH]c1)cccc2C,-8.1
O1CC([C@@H](Cc2cc(O)ccc2)C1=O)Cc1cc(OC)c(OC)cc1,-9.2
O=C(NCCc1ccccc1)Cc1nn(c(n1)N)C(=O)c1ccc(OC)cc1,-9.9
O(C(=O)NCCCCCCNC(=O)OC)C,-6.7
Clc1ccc(NC(=O)O/N=C/c2ncccc2)cc1,-8.6
O1C(C(OC)C2OC(OC12)(C)C)C(N(O)C)C,-6.2
s1c(nc2c1cccc2)C(C(=O)CCC(=O)OC)C#N,-8.1
O(CCCC)C(=O)C(OC(=O)Nc1ccccc1)C,-7.4
O(C1C2(C(C(C1)CC2)(C)C)C)C(=O)c1c(OC(=O)C)cccc1,-8.3
P(=O)(OC)(C(C(=O)C(C)(C)C(=O)OC)(C)C)C,-5.8
O=C1C(CCC1)CCCCCCC,-6.6
o1c2c(cc(c3cc4c(oc3=O)cc(OC)cc4)c1=O)ccc(OC)c2,-9.7
S(CCC(N)C(=O)OCCCCC)C,-6.1
OC(C(CC)CC)CCCN(C)C,-5.9
O(c1c(cccc1OC)/C=N/O)C,-6.9
P(=O)(O)(O)c1c(P(=O)(O)O)cccc1,-8
O(C(=O)N1CCN(CC1)c1c(nc([nH]c1=O)C)C)CC,-7.3
O=C1c2c(-c3c1cccc3[N+](=O)[O-])cc([N+](=O)[O-])cc2,-8.9
o1c2c(c(c1C)C(=O)OCC)cc(O)cc2,-7.8
O(C1(OC)CC2(C(=C(C(O)CC2)C)CC1)CO)C,-7.6
O=c1c2c(n(nc2)c2ccccc2)[nH]c(c1)C,-8.8
O=C1Nc2c(/C/1=C\c1c(N)ccnc1)cccc2,-9
OCCN(c1nc2nc(N)ccc2c(c1)c1ccccc1)CCO,-6.1
